Query,Local,Zero,Valid,Remote,To download,Removed
Homo_sapiens__1975,0,0,0,0,0,0
Homo_sapiens__1976,0,0,0,2,2,0
Homo_sapiens__1977,0,0,0,1,1,0
Homo_sapiens__1978,0,0,0,0,0,0
Homo_sapiens__1979,0,0,0,2,2,0
Homo_sapiens__1980,0,0,0,0,0,0
Homo_sapiens__1981,0,0,0,2,2,0
Homo_sapiens__1982,0,0,0,1,1,0
Homo_sapiens__1983,0,0,0,3,3,0
Homo_sapiens__1984,0,0,0,4,4,0
Homo_sapiens__1985,0,0,0,1,1,0
Homo_sapiens__1986,0,0,0,0,0,0
Homo_sapiens__1987,0,0,0,1,1,0
Homo_sapiens__1988,0,0,0,2,2,0
Homo_sapiens__1989,0,0,0,3,3,0
Homo_sapiens__1990,0,0,0,18,18,0
Homo_sapiens__1991,0,0,0,10,10,0
Homo_sapiens__1992,0,0,0,46,46,0
Homo_sapiens__1993,0,0,0,110,110,0
Homo_sapiens__1994,0,0,0,239,239,0
Homo_sapiens__1995,0,0,0,178,178,0
Homo_sapiens__1996,0,0,0,275,275,0
Homo_sapiens__1997,0,0,0,279,279,0
Homo_sapiens__1998,0,0,0,431,431,0
Homo_sapiens__1999,0,0,0,521,521,0
Homo_sapiens__2000,0,0,0,566,566,0
Homo_sapiens__2001,0,0,0,581,581,0
Homo_sapiens__2002,0,0,0,653,653,0
Homo_sapiens__2003,0,0,0,867,867,0
Homo_sapiens__2004,0,0,0,1135,1135,0
Homo_sapiens__2005,0,0,0,1456,1456,0
Homo_sapiens__2006,0,0,0,1847,1847,0
Homo_sapiens__2007,0,0,0,2014,2014,0
Homo_sapiens__2008,0,0,0,1883,1883,0
Homo_sapiens__2009,0,0,0,1913,1913,0
Homo_sapiens__2010,0,0,0,2055,2055,0
Homo_sapiens__2011,0,0,0,2187,2187,0
Homo_sapiens__2012,0,0,0,2500,2500,0
Homo_sapiens__2013,0,0,0,2691,2691,0
Homo_sapiens__2014,0,0,0,2753,2753,0
Homo_sapiens__2015,0,0,0,2915,2915,0
Homo_sapiens__2016,0,0,0,3538,3538,0
Homo_sapiens__2017,0,0,0,4357,4357,0
Homo_sapiens__2018,0,0,0,4102,4102,0
Homo_sapiens__2019,0,0,0,3937,3937,0
Homo_sapiens__2020,0,0,0,4788,4788,0
Homo_sapiens__2021,0,0,0,4478,4478,0
Homo_sapiens__2022,0,0,0,5241,5241,0
Homo_sapiens__2023,0,0,0,5279,5279,0
TOTAL,0,0,0,65865,65865,0
